Number,Name,Description,Zone
1,Magmorth,A serpentine creature made of flowing lava with obsidian scales,Volcanic Inferno
2,Aquarion,A majestic water dragon with scales that shimmer like the ocean surface,Undersea Kingdom
3,Zephyrix,An ethereal bird-like being composed of swirling winds and clouds,Sky Citadel
4,Terravore,A bulky quadruped with a body of living stone and crystal growths,Crystal Caverns
5,Mosshorn,A deer-like creature with bark-textured skin and a mossy coat,Enchanted Forest
6,Sandstorm,A swirling vortex of sand that occasionally forms a humanoid shape,Desert Oasis
7,Glacialisk,An imposing serpent made of translucent ice with glowing blue eyes,Frozen Tundra
8,Rexcavator,A mechanical T-Rex with excavator arms and treads instead of legs,Prehistoric Jungle
9,Phantomist,A ghostly figure composed of swirling mist with glowing eyes,Haunted Mansion
10,Geodekin,A small humanoid creature with a body made of various colorful crystals,Crystal Caverns
11,Floralfae,A delicate fairy-like being with flower petal wings and leafy skin,Enchanted Forest
12,Umbrabeast,A quadruped made of pure darkness with stars twinkling in its fur,Cosmic Void
13,Toxicritter,A small rodent-like creature that leaves a trail of glowing ooze,Mutant Sewers
14,Mentallo,A floating brain encased in a transparent dome with multiple eyes,Psychic Realm
15,Ironclad,A knight-like being made entirely of interlocking gears and pistons,Clockwork Citadel
16,Soundwave,A translucent humanoid figure with visible sound waves rippling through its body,Harmonic Caverns
17,Nebulite,A cloud-like entity with swirling cosmic gases and twinkling stars within,Cosmic Void
18,Chronosaurus,A dinosaur-like creature with clock faces embedded in its scales,Temporal Rift
19,Emberlisk,A basilisk-like creature with smoldering coal for scales and fiery eyes,Volcanic Inferno
20,Tsunamoth,A gigantic moth with wings that create tidal waves when flapped,Undersea Kingdom
21,Cyclonix,A tornado-like entity with arms and eyes visible in the swirling winds,Sky Citadel
22,Rootrotter,A mass of twisted roots and vines in a vaguely humanoid shape,Enchanted Forest
23,Dunerider,A camel-like creature with sail-like fins and sand-colored scales,Desert Oasis
24,Polarwind,An arctic fox with a body that transitions from solid ice to blowing snow,Frozen Tundra
25,Velocibyte,A velociraptor-like creature made of glowing circuitry and data streams,Cyberpunk Metropolis
26,Spectralth,A shape-shifting specter that can pass through walls and possess objects,Haunted Mansion
27,Amethystion,A lion-like creature with a mane of amethyst crystals and gemstone claws,Crystal Caverns
28,Nectarling,A hummingbird-butterfly hybrid with a proboscis that can extend to incredible lengths,Enchanted Forest
29,Shadowclaw,A panther-like being made of living shadows with glowing red eyes,Shadow Realm
30,Solarbeam,A radiant humanoid figure composed of pure light and solar flares,Celestial Plane
31,Venomantis,A praying mantis-like creature with venomous spikes and acid-dripping mandibles,Toxic Jungle
32,Psychlops,A one-eyed giant with swirling patterns on its skin that induce hypnosis,Psychic Realm
33,Steelix,A metallic snake-like being with a body made of interlocking steel plates,Industrial Wasteland
34,Harmonix,A musical note-shaped creature that creates melodies as it moves,Harmonic Caverns
35,Quasarquid,A squid-like entity with tentacles made of pure energy and a body like a distant galaxy,Cosmic Void
36,Epoch-alypse,A four-armed humanoid with a different historical era represented in each limb,Temporal Rift
37,Blazebeak,A phoenix-like bird with a beak of white-hot flame and feathers of embers,Volcanic Inferno
38,Coralclaw,A crustacean with a shell made of living coral and bioluminescent appendages,Undersea Kingdom
39,Gustclaw,An eagle-like creature with wings made of visible air currents,Sky Citadel
40,Cactuspike,A mobile cactus with sharp needle projectiles and flowery appendages,Desert Oasis
41,Blizzardeon,A yeti-like creature with fur that constantly sheds snowflakes,Frozen Tundra
42,Trilobyte,A robotic trilobite with LED eyes and extendable antenna,Cyberpunk Metropolis
